ELO_name,Opta_name,Country,Level,Elo,Rating,predicted_Elo,error
Jagiellonia,Jagiellonia Białystok,POL,1.0,1527.73,79.1,1551.86,-24.0
Rakow,Raków Częstochowa,POL,1.0,1525.74,80.0,1573.47,-48.0
Cadiz,Cádiz,ESP,2.0,1525.58,75.3,1460.6,65.0
Hammarby,Hammarby,SWE,1.0,1523.63,78.9,1547.06,-23.0
Sturm Graz,Sturm Graz,AUT,1.0,1519.19,78.7,1542.25,-23.0
Jablonec,Jablonec,CZE,1.0,1517.66,77.4,1511.03,7.0
Rangers,Rangers,SCO,1.0,1517.47,77.5,1513.43,4.0
Ferencvaros,Ferencváros,HUN,1.0,1517.4,81.1,1599.89,-82.0
Empoli,Empoli,ITA,2.0,1517.1,72.0,1381.35,136.0
Holstein,Holstein Kiel,GER,2.0,1516.38,75.4,1463.0,53.0
Stoke,Stoke City,ENG,2.0,1515.93,79.6,1563.87,-48.0
Salzburg,Salzburg,AUT,1.0,1514.01,78.4,1535.05,-21.0
Hull,Hull City,ENG,2.0,1513.08,78.3,1532.65,-20.0
Trabzonspor,Trabzonspor,TUR,1.0,1510.55,78.3,1532.65,-22.0
Nordsjaelland,Nordsjælland,DEN,1.0,1507.32,75.9,1475.01,32.0
Eibar,Eibar,ESP,2.0,1507.12,74.4,1438.99,68.0
Gil Vicente,Gil Vicente,POR,1.0,1505.32,77.4,1511.03,-6.0
Qpr,Queens Park Rangers,ENG,2.0,1504.39,76.9,1499.03,5.0
Lech,Lech Poznań,POL,1.0,1504.16,78.7,1542.25,-38.0
Nijmegen,Nec,NED,1.0,1503.63,75.8,1472.61,31.0
Preston,Preston North End,ENG,2.0,1501.51,78.9,1547.06,-46.0
Granada,Granada,ESP,2.0,1501.26,73.9,1426.98,74.0
Gent,Gent,BEL,1.0,1500.75,77.1,1503.83,-3.0
Troyes,Troyes,FRA,2.0,1499.63,74.6,1443.79,56.0
Young Boys,Young Boys,SUI,1.0,1499.6,77.5,1513.43,-14.0
Mirandes,Mirandés,ESP,2.0,1499.49,73.9,1426.98,73.0
Antwerp,Antwerp,BEL,1.0,1499.06,77.0,1501.43,-2.0
Djurgarden,Djurgården,SWE,1.0,1498.31,77.4,1511.03,-13.0
Besiktas,Beşiktaş,TUR,1.0,1497.72,77.3,1508.63,-11.0
Depor,Deportivo De La Coruña,ESP,2.0,1496.32,75.6,1467.81,29.0
Karlsruhe,Karlsruher Sc,GER,2.0,1495.33,76.8,1496.62,-1.0
Go Ahead Eagles,Go Ahead Eagles,NED,1.0,1494.8,74.7,1446.19,49.0
Mechelen,Mechelen,BEL,1.0,1493.89,77.3,1508.63,-15.0
Burgos,Burgos,ESP,2.0,1493.81,74.7,1446.19,48.0
Charleroi,Sporting Charleroi,BEL,1.0,1493.48,77.2,1506.23,-13.0
Huesca,Huesca,ESP,2.0,1491.24,73.4,1414.97,76.0
Hannover,Hannover 96,GER,2.0,1486.7,76.3,1484.62,2.0
Bochum,Bochum,GER,2.0,1486.68,74.2,1434.19,52.0
Frosinone,Frosinone,ITA,2.0,1486.01,74.3,1436.59,49.0
Sparta Rotterdam,Sparta Rotterdam,NED,1.0,1485.06,74.8,1448.59,36.0
Legia,Legia Warszawa,POL,1.0,1484.51,77.7,1518.24,-34.0
Moreirense,Moreirense,POR,1.0,1484.46,76.5,1489.42,-5.0
Gijon,Sporting De Gijón,ESP,2.0,1482.72,73.7,1422.18,61.0
Charlton,Charlton Athletic,ENG,2.0,1481.71,78.3,1532.65,-51.0
Lautern,Kaiserslautern,GER,2.0,1481.23,76.8,1496.62,-15.0
Blackburn,Blackburn Rovers,ENG,2.0,1480.46,77.7,1518.24,-38.0
Watford,Watford,ENG,2.0,1480.26,77.4,1511.03,-31.0
Cordoba,Córdoba,ESP,2.0,1478.94,74.2,1434.19,45.0
Albacete,Albacete,ESP,2.0,1478.93,73.9,1426.98,52.0
Portsmouth,Portsmouth,ENG,2.0,1477.44,76.0,1477.41,0.0
Montpellier,Montpellier,FRA,2.0,1477.1,71.7,1374.15,103.0
Gornik,Górnik Zabrze,POL,1.0,1475.94,78.4,1535.05,-59.0
Darmstadt,Darmstadt 98,GER,2.0,1475.94,76.0,1477.41,-1.0
Samsunspor,Samsunspor,TUR,1.0,1475.77,77.7,1518.24,-42.0
Rio Ave,Rio Ave,POR,1.0,1474.6,74.3,1436.59,38.0
Randers,Randers,DEN,1.0,1474.22,75.0,1453.4,21.0
Derby,Derby County,ENG,2.0,1472.49,77.8,1520.64,-48.0
Schalke,Schalke 04,GER,2.0,1472.36,75.3,1460.6,12.0
Valladolid,Real Valladolid,ESP,2.0,1471.89,74.3,1436.59,35.0
Santa Clara,Santa Clara,POR,1.0,1469.62,75.0,1453.4,16.0
Palermo,Palermo,ITA,2.0,1468.82,74.3,1436.59,32.0
Silkeborg,Silkeborg,DEN,1.0,1467.9,74.9,1451.0,17.0
Arouca,Arouca,POR,1.0,1467.83,73.9,1426.98,41.0
Hertha,Hertha Bsc,GER,2.0,1466.88,75.7,1470.21,-3.0
Spezia,Spezia,ITA,2.0,1466.48,73.0,1405.37,61.0
Wolfsberg,Wolfsberger Ac,AUT,1.0,1465.06,76.9,1499.03,-34.0
Oxford,Oxford United,ENG,2.0,1464.81,75.6,1467.81,-3.0
St Truiden,Sint-Truiden,BEL,1.0,1464.61,76.6,1491.82,-27.0
Modena,Modena,ITA,2.0,1464.11,74.6,1443.79,20.0
Westerlo,Westerlo,BEL,1.0,1464.07,75.8,1472.61,-9.0
Malmoe,Malmö Ff,SWE,1.0,1463.77,76.4,1487.02,-23.0
Pogon,Pogoń Szczecin,POL,1.0,1461.15,76.3,1484.62,-23.0
Bueyueksehir,İstanbul Başakşehir,TUR,1.0,1460.54,76.1,1479.81,-19.0
Cesena,Cesena,ITA,2.0,1460.41,74.0,1429.38,31.0
Ceuta,Ceuta,ESP,2.0,1457.49,73.8,1424.58,33.0
Malaga,Málaga,ESP,2.0,1457.17,72.8,1400.56,57.0
Castellon,Castellón,ESP,2.0,1457.0,73.3,1412.57,44.0
Juve Stabia,Juve Stabia,ITA,2.0,1456.83,73.2,1410.17,47.0
Cracovia,Cracovia,POL,1.0,1454.87,77.0,1501.43,-47.0
Dunkerque,Dunkerque,FRA,2.0,1453.57,73.1,1407.77,46.0
Catanzaro,Catanzaro,ITA,2.0,1452.86,73.4,1414.97,38.0
Hearts,Hearts,SCO,1.0,1452.66,76.6,1491.82,-39.0
Estoril,Estoril,POR,1.0,1452.55,75.2,1458.2,-6.0
Duesseldorf,Fortuna Düsseldorf,GER,2.0,1452.09,74.2,1434.19,18.0
Razgrad,Ludogorets Razgrad,BUL,1.0,1448.83,75.2,1458.2,-9.0
Cercle Brugge,Cercle Brugge,BEL,1.0,1448.25,75.0,1453.4,-5.0
Casa Pia,Casa Pia,POR,1.0,1446.87,73.6,1419.78,27.0
Guingamp,Guingamp,FRA,2.0,1446.62,72.3,1388.56,58.0
Tromso,Tromsø,NOR,1.0,1445.81,75.8,1472.61,-27.0
Lausanne,Lausanne-Sport,SUI,1.0,1442.99,76.0,1477.41,-34.0
Viborg,Viborg,DEN,1.0,1442.76,74.4,1438.99,4.0
Birmingham,Birmingham City,ENG,2.0,1442.3,78.6,1539.85,-98.0
Craiova,Universitatea Craiova,ROM,1.0,1442.13,76.5,1489.42,-47.0
Rosenborg,Rosenborg,NOR,1.0,1442.12,74.8,1448.59,-6.0
Annecy,Annecy,FRA,2.0,1440.31,71.4,1366.94,73.0
Goeztepe,Göztepe,TUR,1.0,1438.76,76.4,1487.02,-48.0
Gais,Gais,SWE,1.0,1437.22,76.4,1487.02,-50.0
Servette,Servette,SUI,1.0,1434.63,74.6,1443.79,-9.0
Heerenveen,Heerenveen,NED,1.0,1434.51,73.1,1407.77,27.0
Steaua,Fcsb,ROM,1.0,1434.03,75.6,1467.81,-34.0
Zwolle,Pec Zwolle,NED,1.0,1433.68,71.8,1376.55,57.0
Groningen,Groningen,NED,1.0,1433.07,73.0,1405.37,28.0
Rodez,Rodez,FRA,2.0,1432.47,70.5,1345.33,87.0
Stgallen,St. Gallen,SUI,1.0,1432.24,74.9,1451.0,-19.0
Sheffield Weds,Sheffield Wednesday,ENG,2.0,1432.07,74.5,1441.39,-9.0
Carrarese,Carrarese,ITA,2.0,1431.25,71.7,1374.15,57.0
Alanyaspor,Alanyaspor,TUR,1.0,1428.52,74.3,1436.59,-8.0
Standard,Standard Liège,BEL,1.0,1427.78,75.2,1458.2,-30.0
Banik Ostrava,Baník Ostrava,CZE,1.0,1427.28,72.9,1402.97,24.0
Nacional,Nacional,POR,1.0,1426.8,73.3,1412.57,14.0
Reggiana,Reggiana,ITA,2.0,1425.89,71.8,1376.55,49.0
Red Star,Red Star,FRA,2.0,1425.08,71.9,1378.95,46.0
Hradec Kralove,Hradec Králové,CZE,1.0,1422.41,73.6,1419.78,3.0
Suedtirol,Südtirol,ITA,2.0,1422.4,71.6,1371.75,51.0
Levski,Levski Sofia,BUL,1.0,1422.25,76.5,1489.42,-67.0
Austria Wien,Austria Wien,AUT,1.0,1421.41,73.5,1417.38,4.0
Molde,Molde,NOR,1.0,1420.21,74.1,1431.78,-12.0
Slovan Liberec,Slovan Liberec,CZE,1.0,1419.93,73.8,1424.58,-5.0
Hajduk,Hajduk Split,CRO,1.0,1419.87,78.2,1530.25,-110.0
Korona,Korona Kielce,POL,1.0,1418.77,75.7,1470.21,-51.0
Sampdoria,Sampadoria,ITA,2.0,1418.27,70.1,1335.72,83.0
Kasimpasa,Kasimpaşa,TUR,1.0,1417.43,72.6,1395.76,22.0
Nuernberg,Nürnberg,GER,2.0,1417.37,72.9,1402.97,14.0
Sociedad B,Real Sociedad Ii,ESP,2.0,1417.35,72.3,1388.56,29.0
Aris,Aris,GRE,1.0,1416.66,73.7,1422.18,-6.0
Elfsborg,Elfsborg,SWE,1.0,1416.48,73.6,1419.78,-3.0
Pau,Pau,FRA,2.0,1415.9,70.9,1354.94,61.0
Clermont,Clermont,FRA,2.0,1415.07,69.0,1309.31,106.0
Aik,Aik,SWE,1.0,1412.89,75.6,1467.81,-55.0
Rapid Bucuresti,Rapid București,ROM,1.0,1412.09,75.7,1470.21,-58.0
Sittard,Fortuna Sittard,NED,1.0,1411.5,71.7,1374.15,37.0
Rapid Wien,Rapid,AUT,1.0,1410.91,74.1,1431.78,-21.0
Bari,Bari,ITA,2.0,1409.69,71.6,1371.75,38.0
Sonderjyske,Sønderjyske,DEN,1.0,1409.57,74.0,1429.38,-20.0
Konyaspor,Konyaspor,TUR,1.0,1408.83,72.9,1402.97,6.0
Magdeburg,Magdeburg,GER,2.0,1408.6,72.4,1390.96,18.0
Le Mans,Le Mans,FRA,2.0,1407.5,70.8,1352.54,55.0
Grenoble,Grenoble,FRA,2.0,1406.91,70.6,1347.73,59.0
Goeteborg,Ifk Göteborg,SWE,1.0,1406.15,74.9,1451.0,-45.0
Haecken,Häcken,SWE,1.0,1406.02,73.7,1422.18,-16.0
Fredrikstad,Fredrikstad,NOR,1.0,1404.45,74.6,1443.79,-39.0
Leuven,Oh Leuven,BEL,1.0,1402.5,73.9,1426.98,-24.0
Laval,Laval,FRA,2.0,1402.1,69.7,1326.12,76.0
Gaziantep Fk,Gaziantep Fk,TUR,1.0,1401.45,73.9,1426.98,-26.0
Luzern,Luzern,SUI,1.0,1401.07,73.9,1426.98,-26.0
Paksi,Paks,HUN,1.0,1400.88,75.7,1470.21,-69.0
Amiens,Amiens Sc,FRA,2.0,1400.81,69.6,1323.72,77.0
